127.0.0.1 - - [11/Dec/2015:19:25:05 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/ HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/js/jquery.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/css/bootstrap.min.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/js/jquery.fs.dropper.min.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/css/itf.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/js/angular-resource.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/js/bootstrap.min.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/js/angular-ui-router.min.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/js/angular.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/assets/js/angular-flash.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/app/app.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:06 +0100] "GET /location/app/parameters/parameters.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:07 +0100] "GET /location/app/models/models.js HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:07 +0100] "GET /location/app/weatherstations/weatherstations.js HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:07 +0100] "GET /location/app/profiles/profiles.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:07 +0100] "GET /location/app/simulation/simulation.js HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:07 +0100] "GET /location/app/devtools/runs/runs.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:07 +0100] "GET /location/app/devtools/statistics/statistics.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:07 +0100] "GET /location/app/devtools/config/config.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:21 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:21 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:21 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:26 +0100] "GET /configurator HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:40 +0100] "GET /location HTTP/1.1" 200 3387
0:0:0:0:0:0:0:1 - - [11/Dec/2015:19:25:40 +0100] "GET /assets/css/bootstrap.min.css HTTP/1.1" 404 1050
